62,6,2,2023-04-05 15:04:49,9885,813117349,813117349@bank.com,1
63,6,1,2023-04-05 15:04:49,140670,319972085,319972085@bank.com,1
70,1,1,2023-04-05 14:51:31,7800,1890367257,1890367257@bank.com,1
78,9,2,2023-04-05 14:51:31,5200,2061012008,2061012008@bank.com,1
79,1,2,2023-04-05 14:50:20,1800,1744083444,1744083444@bank.com,1
80,11,2,2023-04-05 15:33:11,2500,546660864,546660864@bank.com,1
81,11,1,2023-04-05 15:33:14,4500,163387429,163387429@bank.com,1
82,10,1,2023-04-05 15:33:18,6000,2133302494,2133302494@bank.com,1
83,10,2,2023-04-05 15:33:21,2500,1333288816,1333288816@bank.com,1
84,12,1,2023-04-05 15:36:00,4200,1896471547,1896471547@bank.com,1
87,12,2,2023-04-05 15:33:24,7000,1646217105,1646217105@bank.com,1
88,13,2,2023-04-05 15:33:26,6000,1277577973,1277577973@bank.com,1
